pdb_id,experimental_method,experiment_data_available,title,entry_authors,sample_preparation_method,detector,detector_type,synchrotron_beamline,beam_source_name,diffraction_protocol,structure_determination_method,refinement_software,spacegroup,beam_source_type,synchrotron_site,structure_solution_software,data_reduction_software,data_scaling_software,phasing_method,SG_center_name,SG_full_name,crystallisation_reservoir,crystallisation_ph,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,entity_weight,number_of_polymers,number_of_polymer_residues,number_of_polymer_entities,number_of_bound_entities,number_of_protein_chains,max_observed_residues,molecule_name,all_molecule_name,modified_residue_flag,molecule_type,mutation_type,molecule_synonym,gene_name,entity_id
2li5,Solution NMR,y,NMR structure of Atg8-Atg7C30 complex,"Kumeta H,Satoo K,Noda NN,Fujioka Y,Ogura K,Nakatogawa H,Ohsumi Y,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,PF02991,Atg8,Ubiquitin,Autophagy protein Atg8 ubiquitin like,"IPR004241,IPR029071","Autophagy protein Atg8 ubiquitin-like,Ubiquitin-like domain superfamily",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,"GO:1905153,GO:0006995,GO:0061025,GO:0061709,GO:0034727,GO:0006914,GO:0044805,GO:0015031,GO:0000045,GO:0032258,GO:0071211,GO:0000422,GO:0016236,GO:0034629,GO:0034497,GO:0006888,GO:0016241,GO:0005515,GO:0008429,GO:0031386,GO:0016020,GO:0000421,GO:0031410,GO:0000407,GO:0033110,GO:0120095,GO:0005776,GO:0005773,GO:0005737,GO:0005774,GO:0000329,GO:0019898,GO:0005829","regulation of membrane invagination,cellular response to nitrogen starvation,membrane fusion,reticulophagy,piecemeal microautophagy of the nucleus,autophagy,late nucleophagy,protein transport,autophagosome assembly,cytoplasm to vacuole transport by the Cvt pathway,protein targeting to vacuole involved in autophagy,autophagy of mitochondrion,macroautophagy,cellular protein-containing complex localization,protein localization to phagophore assembly site,endoplasmic reticulum to Golgi vesicle-mediated transport,regulation of macroautophagy","protein binding,phosphatidylethanolamine binding,protein tag","membrane,autophagosome membrane,cytoplasmic vesicle,phagophore assembly site,Cvt vesicle membrane,vacuole-isolation membrane contact site,autophagosome,vacuole,cytoplasm,vacuolar membrane,fungal-type vacuole membrane,extrinsic component of membrane,cytosol",,,,,P38182,ATG8_YEAST,0.99,17879,,13597.699,2,302,2,0,2,117,Autophagy-related protein 8,,N,Protein,"Expression tag,Engineered mutation","Autophagy-related ubiquitin-like modifier ATG8,Cytoplasm to vacuole targeting protein 5,Autophagy-related protein 8","YBL078C,ATG8,CVT5,AUT7,APG8,YBL0732",1
2li5,Solution NMR,y,NMR structure of Atg8-Atg7C30 complex,"Kumeta H,Satoo K,Noda NN,Fujioka Y,Ogura K,Nakatogawa H,Ohsumi Y,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P38862,ATG7_YEAST,0.05,17879,,3848.143,2,302,2,0,2,34,Ubiquitin-like modifier-activating enzyme ATG7,,N,Protein,Expression tag,"Cytoplasm to vacuole targeting protein 2,Autophagy-related protein 7,ATG12-activating enzyme E1 ATG7,Ubiquitin-like modifier-activating enzyme ATG7","ATG7,YHR171W,APG7,CVT2",2
5urn,Solution NMR,y,NMR structure of the complex between the PH domain of the Tfb1 subunit from TFIIH and the transactivation domain 1 of p65,"Lecoq L,Omichinski JG,Raiola L,Cyr N,Chabot P,Arseneault G,Legault P",Engineered,,,,,,,,P 1,,,,,,,,,,,PF08567,PH_TFIIH,PH,"TFIIH p62 subunit\, N-terminal domain","IPR027079,IPR011993,IPR013876","TFIIH subunit Tfb1/GTF2H1,PH-like domain superfamily,TFIIH p62 subunit\, N-terminal",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,"GO:0006351,GO:0006289,GO:0000439","transcription\, DNA-templated,nucleotide-excision repair",,transcription factor TFIIH core complex,,,,,P32776,TFB1_YEAST,0.18,"6225,30243",,12903.701,2,444,2,0,2,115,General transcription and DNA repair factor IIH subunit TFB1,,N,Protein,Expression tag,"General transcription and DNA repair factor IIH subunit TFB1,TFIIH subunit TFB1,RNA polymerase II transcription factor B 73 kDa subunit,RNA polymerase II transcription factor B p73 subunit,RNA polymerase II transcription factor B subunit 1","D9740.3,YDR311W,TFB1",1
2mjf,Solution NMR,y,Solution structure of the complex between the yeast Rsa1 and Hit1 proteins,"Quinternet M,Roth B,Back R,Jacquemin C,Manival X",Engineered,,,,,,,,,,,,,,,,,,,PF18268,Hit1_C,,Hit1 C-terminal,IPR040722,"Hit1\, C-terminal",1.20.1440.260,Mainly Alpha,Up-down Bundle,de novo design (two linked rop proteins),de novo design (two linked rop proteins),,,,,,,,,,,,,P46973,HIT1_YEAST,0.58,19626,,10920.488,2,270,2,0,2,95,Protein HIT1,,N,Protein,,Protein HIT1,"HIT1,J1705,YJR055W",2
2lhi,Solution NMR,y,Solution structure of Ca2+/CNA1 peptide-bound yCaM,"Ogura K,Takahashi K,Kobashigawa Y,Yoshida R,Itoh H,Yazawa M,Inagaki F",Engineered,,,,,,,,,,,,,,,,,,,PF13499,EF-hand_7,EF_hand,EF-hand domain pair,"IPR011992,IPR002048,IPR039030","EF-hand domain pair,EF-hand domain,Calmodulin",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,3.1.3.16,Protein-serine/threonine phosphatase,Phosphoprotein phosphohydrolase,"Hydrolases,Acting on ester bonds,Phosphoric monoester hydrolases,Protein-serine/threonine phosphatase","GO:0050790,GO:0051300,GO:0006898,GO:0019722,GO:1903525,GO:0006897,GO:0042144,GO:0006606,GO:0007010,GO:0007114,GO:0000226,GO:0006661,GO:0000742,GO:0016237,GO:0005509,GO:0005515,GO:0030234,GO:0046872,GO:0048306,GO:0051019,GO:0005933,GO:0005823,GO:0043332,GO:0000131,GO:0005856,GO:0005737,GO:0005816,GO:0005934,GO:0005935","regulation of catalytic activity,spindle pole body organization,receptor-mediated endocytosis,calcium-mediated signaling,regulation of membrane tubulation,endocytosis,vacuole fusion\, non-autophagic,protein import into nucleus,cytoskeleton organization,cell budding,microtubule cytoskeleton organization,phosphatidylinositol biosynthetic process,karyogamy involved in conjugation with cellular fusion,lysosomal microautophagy","calcium ion binding,protein binding,enzyme regulator activity,metal ion binding,calcium-dependent protein binding,mitogen-activated protein kinase binding","cellular bud,central plaque of spindle pole body,mating projection tip,incipient cellular bud site,cytoskeleton,cytoplasm,spindle pole body,cellular bud tip,cellular bud neck",,,,,"P06787,P23287","CALM_YEAST,PP2B1_YEAST","0.99,0.04,0.99,0.04",17850,,19281.553,1,176,1,1,1,176,"Calmodulin,Serine/threonine-protein phosphatase 2B catalytic subunit A1",,N,Protein,"Expression tag,Linker","CaM,Calmodulin,Calmodulin-binding protein 1,Serine/threonine-protein phosphatase 2B catalytic subunit A1,Calcineurin A1","YBR0904,CMD1,YBR109C,L9753.6,CMP1,YLR433C,CNA1",1
2ltl,Solution NMR,y,"Solution NMR Structure of NifU-like protein from Saccharomyces cerevisiae, Northeast Structural Genomics Consortium (NESG) Target YR313A","Liu G,Xiao R,Hamilton K,Janjua H,Shastry R,Kohan E,Acton TB,Everett JK,Lee H,Huang YJ,Montelione GT,Northeast Structural Genomics Consortium (NESG),Mitochondrial Protein Partnership (MPP)",Engineered,,,,,,,,,,,,,,,"NESG,MPP","Northeast Structural Genomics Consortium,Mitochondrial Protein Partnership",,,PF08712,Nfu_N,,Scaffold protein Nfu/NifU N terminal,"IPR036498,IPR014824","Scaffold protein Nfu/NifU\, N-terminal domain superfamily,Scaffold protein Nfu/NifU\, N-terminal",3.30.1370.70,Alpha Beta,2-Layer Sandwich,"Ribosomal Protein S8; Chain: A\, domain 1","Scaffold protein Nfu/NifU\, N-terminal domain",,,,,,,,,,,,,P32860,NFU1_YEAST,0.42,18487,,13639.6,1,238,1,0,1,119,"NifU-like protein\, mitochondrial",,N,Protein,Expression tag,"NifU-like protein\, mitochondrial","YKL040C,NUB1,YKL253,NFU1",1
2lo6,Solution NMR,y,Structure of Nrd1 CID bound to phosphorylated RNAP II CTD,"Kubicek K,Cerna H,Pasulka J,Holub P,Hrossova D,Loehr F,Hofr C,Vanacova S,Stefl R",Engineered,,,,,,,,,,,,,,,,,,,PF04818,CTD_bind,,RNA polymerase II-binding domain.,"IPR006903,IPR006569,IPR008942","RNA polymerase II-binding domain,CID domain,ENTH/VHS",1.25.40.90,Mainly Alpha,Alpha Horseshoe,"Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat","Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat",,,,,,,,,,,,,P53617,NRD1_YEAST,0.27,17173,,18315.674,2,525,2,0,2,154,Protein NRD1,,N,Protein,Expression tag,Protein NRD1,"YNL251C,N0868,NRD1",1
1k3n,Solution NMR,y,NMR Structure of the FHA1 Domain of Rad53 in Complex with a Rad9-derived Phosphothreonine (at T155) Peptide,"Yuan C,Yongkiettrakul S,Byeon I-JL,Zhou S,Tsai M-D",Synthetic,,,,,Single wavelength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P14737,RAD9_YEAST,0.01,,,1617.754,2,328,2,0,2,13,DNA repair protein RAD9,,Y,Protein,Modified residue,DNA repair protein RAD9,"RAD9,YDR217C,YD9934.02C",2
2my3,Solution NMR,y,Snu17p-Pml1p structure intermediate during RES complex assembly,"Wysoczanski P,Becker S,Zweckstetter M",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q07930,PML1_YEAST,0.1,"19766,25443",,2514.782,2,282,2,0,2,23,Pre-mRNA leakage protein 1,,N,Protein,Expression tag,Pre-mRNA leakage protein 1,"PML1,L1591,YLR016C",2
2mkr,Solution NMR,y,Structural Characterization of a Complex Between the Acidic Transactivation Domain of EBNA2 and the Tfb1/p62 subunit of TFIIH.,"Chabot PR,Raiola L,Lussier-Price M,Morse T,Arseneault G,Archambault J,Omichinski J",Engineered,,,,,,,,,,,,,,,,,,,PF08567,PH_TFIIH,PH,"TFIIH p62 subunit\, N-terminal domain","IPR011993,IPR027079,IPR013876","PH-like domain superfamily,TFIIH subunit Tfb1/GTF2H1,TFIIH p62 subunit\, N-terminal",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,"GO:0006351,GO:0006289,GO:0000439","transcription\, DNA-templated,nucleotide-excision repair",,transcription factor TFIIH core complex,,,,,P32776,TFB1_YEAST,0.18,19791,,12903.701,2,256,2,0,2,115,General transcription and DNA repair factor IIH subunit TFB1,,N,Protein,Engineered mutation,"General transcription and DNA repair factor IIH subunit TFB1,TFIIH subunit TFB1,RNA polymerase II transcription factor B 73 kDa subunit,RNA polymerase II transcription factor B p73 subunit,RNA polymerase II transcription factor B subunit 1","D9740.3,YDR311W,TFB1",1
2jss,Solution NMR,y,NMR structure of chaperone Chz1 complexed with histone H2A.Z-H2B,"Zhou Z,Feng H,Hansen DF,Kato H,Luk E,Freedberg DI,Kay LE,Wu C,Bai Y",Synthetic,,,,,,,,P 1,,,,,,,,,,,PF09649,CHZ,,Histone chaperone domain CHZ,IPR019098,Histone chaperone domain CHZ,,,,,,,,,,,,,,,,,,P40019,CHZ1_YEAST,0.41,,,6959.446,2,508,2,0,2,62,Histone H2A.Z-specific chaperone CHZ1,,N,Protein,,Histone H2A.Z-specific chaperone CHZ1,"CHZ1,YER030W",2
2mje,Solution NMR,y,Reduced Yeast Adrenodoxin Homolog 1,"Gallo A,Banci L",Engineered,,,,,,,,,,,,,,,,,,,PF00111,Fer2,Fer2,2Fe-2S iron-sulfur cluster binding domain,"IPR001055,IPR036010,IPR012675,IPR001041","Adrenodoxin,2Fe-2S ferredoxin-like superfamily,Beta-grasp domain superfamily,2Fe-2S ferredoxin-type iron-sulfur binding domain","3.10.20.30,3.10.20.30","Alpha Beta,Alpha Beta","Roll,Roll","Ubiquitin-like (UB roll),Ubiquitin-like (UB roll)","Beta-grasp domain,Ubiquitin-like (UB roll)",,,,,"GO:0009055,GO:0051536,GO:0051537",,"electron transfer activity,iron-sulfur cluster binding,2 iron\, 2 sulfur cluster binding",,,,,,Q12184,ADRX_YEAST,0.67,"19717,19718",,12635.012,1,231,1,1,1,115,"Adrenodoxin homolog\, mitochondrial",,N,Protein,,"Adrenodoxin homolog\, mitochondrial,Mitochondrial ferredoxin","YPL252C,YAH1",1
2lpb,Solution NMR,y,Structure of the complex of the central activation domain of Gcn4 bound to the mediator co-activator domain 1 of Gal11/med15,"Brzovic PS,Heikaus CC,Kisselev L,Vernon R,Herbig E,Pacheco D,Warfield L,Littlefield P,Baker D,Klevit RE,Hahn S",Engineered,,,,,,,,,,,,,,,,,,,,,,,IPR033789,"Gal11\, coactivator domain",1.10.287.2920,,,,,,,,,,,,,,,,,P19659,MED15_YEAST,0.07,18244,,9515.047,2,345,2,0,2,81,Mediator of RNA polymerase II transcription subunit 15,,N,Protein,,"Basal expression activator protein 1,Mediator complex subunit 15,Defective silencing suppressor protein 4,Ty insertion suppressor protein 13,Autonomous replication regulatory protein 3,Mediator of RNA polymerase II transcription subunit 15,Transcription regulatory protein GAL11","RAR3,SPT13,MED15,GAL11,YOL051W,ABE1,SDS4",1
2lpb,Solution NMR,y,Structure of the complex of the central activation domain of Gcn4 bound to the mediator co-activator domain 1 of Gal11/med15,"Brzovic PS,Heikaus CC,Kisselev L,Vernon R,Herbig E,Pacheco D,Warfield L,Littlefield P,Baker D,Klevit RE,Hahn S",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P03069,GCN4_YEAST,0.12,18244,,3958.076,2,345,2,0,2,34,General control protein GCN4,,N,Protein,,"Amino acid biosynthesis regulatory protein,General control protein GCN4","GCN4,AAS3,ARG9,YEL009C",2
2mr3,Solution NMR,y,A subunit of 26S proteasome lid complex,"Wu Y,Hu Y,Jin C",Engineered,,,,,,,,,,,,,,,,,,,"PF18261,PF01399","Rpn9_C,PCI",HTH,"Rpn9 C-terminal helix,PCI domain","IPR000717,IPR040798,IPR036390,IPR035298","Proteasome component (PCI) domain,Rpn9\, C-terminal helix,Winged helix DNA-binding domain superfamily,26S Proteasome non-ATPase regulatory subunit 13",,,,,,,,,,"GO:0006511,GO:0043248,GO:0005515,GO:0005198,GO:0008541,GO:0005634,GO:0000502,GO:0034515,GO:0005829","ubiquitin-dependent protein catabolic process,proteasome assembly","protein binding,structural molecule activity","proteasome regulatory particle\, lid subcomplex,nucleus,proteasome complex,proteasome storage granule,cytosol",,,,,Q04062,RPN9_YEAST,1.0,19219,,45839.348,1,1179,1,0,1,356,26S proteasome regulatory subunit RPN9,,N,Protein,,"Proteasome non-ATPase subunit 7,26S proteasome regulatory subunit RPN9","RPN9,NAS7,YDR427W,D9461.14",1
2rpw,Solution NMR,y,Structure of a peptide derived from H+-V-ATPase subunit a,"Vermeer LS,Reat V,Hemminga MA,Milon A",Synthetic,,,,,,,,,,,,,,,,,,,,,,,IPR002490,"V-type  ATPase\, V0 complex\, 116kDa subunit family",,,,,,,,,,"GO:1902600,GO:0015078,GO:0033179",proton transmembrane transport,proton transmembrane transporter activity,"proton-transporting V-type ATPase\, V0 domain",,,,,P32563,VPH1_YEAST,0.03,11056,,2832.328,1,50,1,0,1,25,"V-type proton ATPase subunit a\, vacuolar isoform",,N,Protein,See remark 999,"Vacuolar proton translocating ATPase subunit a 1,Vacuolar proton pump a subunit,Vacuolar pH protein 1,V-ATPase a 1 subunit,V-ATPase 95 kDa subunit,V-type proton ATPase subunit a\, vacuolar isoform","YOR270C,VPH1",1
5woz,Solution NMR,y,NMR solution structure of Rtt103 (RTT) protein using two 4D-spectra,"Evangelidis T,Nerli S,Sgourakis NG,Tripsianes K",Engineered,,,,,,,,,,,,,,,,,,,PF04818,CTD_bind,,RNA polymerase II-binding domain.,"IPR006903,IPR006569,IPR008942","RNA polymerase II-binding domain,CID domain,ENTH/VHS",1.25.40.90,Mainly Alpha,Alpha Horseshoe,"Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat","Serine Threonine Protein Phosphatase 5\, Tetratricopeptide repeat",,,,,,,,,,,,,Q05543,RT103_YEAST,0.31,30327,,16132.574,1,276,1,0,1,133,Regulator of Ty1 transposition protein 103,,N,Protein,Expression tag,Regulator of Ty1 transposition protein 103,"YDR289C,RTT103",1
2lgz,Solution NMR,y,Solution structure of STT3P,"Huang C,Bhaskaran R,Mohanty S",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4.99.18,Dolichyl-diphosphooligosaccharide--protein glycotransferase,Dolichyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligopolysaccharidotransferase,"Transferases,Glycosyltransferases,Transferring other glycosyl groups,Dolichyl-diphosphooligosaccharide--protein glycotransferase",,,,,,,,,P39007,STT3_YEAST,0.35,16701,,31412.994,1,546,1,0,1,273,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,,N,Protein,"Expression tag,Conflict","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,Staurosporine and temperature sensitivity protein 3,Oligosaccharyl transferase subunit STT3","STT3,YGL022W",1
2mby,Solution NMR,y,NMR Structure of Rrp7 C-terminal Domain,"Lin J,Feng Y,Ye K",Engineered,,,,,,,,,,,,,,,,,,,,,,,"IPR040446,IPR024326","Ribosomal RNA-processing protein 7,Ribosomal RNA-processing protein 7\, C-terminal domain",6.10.250.1770,,,,,,,,,,,,,,,,,P25368,RRP7_YEAST,0.14,19416,,5732.637,1,138,1,0,1,46,Ribosomal RNA-processing protein 7,,N,Protein,Expression tag,Ribosomal RNA-processing protein 7,"YCL184,RRP7,YCL031C,YCL31C",1
2n3t,Solution NMR,y,Solution structure of the Rpn1 substrate receptor site toroid 1 (T1),"Chen X,Walters KJ",Engineered,,,,,,,,P 1,,,,,,,,,,,PF01851,PC_rep,TPR,Proteasome/cyclosome repeat,"IPR011989,IPR016643,IPR002015","Armadillo-like helical,26S proteasome regulatory complex\, non-ATPase subcomplex\, Rpn1 subunit,Proteasome/cyclosome repeat",,,,,,,,,,"GO:0042176,GO:0030234,GO:0000502",regulation of protein catabolic process,enzyme regulator activity,proteasome complex,,,,,P38764,RPN1_YEAST,0.13,25657,,13636.592,1,262,1,0,1,131,26S proteasome regulatory subunit RPN1,,N,Protein,,"26S proteasome regulatory subunit RPN1,HMG-CoA reductase degradation protein 2,Proteasome non-ATPase subunit 1","NAS1,YHR027C,HRD2,RPN1,RPD1",1
2lo6,Solution NMR,y,Structure of Nrd1 CID bound to phosphorylated RNAP II CTD,"Kubicek K,Cerna H,Pasulka J,Holub P,Hrossova D,Loehr F,Hofr C,Vanacova S,Stefl R",Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7.7.6,DNA-directed RNA polymerase,Nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed),"Transferases,Transferring phosphorus-containing groups,Nucleotidyltransferases,DNA-directed RNA polymerase",,,,,,,,,P04050,RPB1_YEAST,0.01,17173,,1617.454,2,525,2,0,2,14,DNA-directed RNA polymerase II subunit RPB1,,Y,Protein,,"DNA-directed RNA polymerase II subunit RPB1,RNA polymerase II subunit 1,RNA polymerase II subunit B1,DNA-directed RNA polymerase III largest subunit,RNA polymerase II subunit B220","RPB1,SUA8,RPB220,RPO21,YDL140C,D2150",2
2jmj,Solution NMR,,NMR solution structure of the PHD domain from the yeast YNG1 protein in complex with H3(1-9)K4me3 peptide,"Ilin S,Taverna SD,Rogers RS,Tanny JC,Lavender H,Li H,Baker L,Boyle J,Blair LP,Chait BT,Patel DJ,Aitchison JD,Tackett AJ,Allis CD",Synthetic,,,,,Single wavelength,,,P 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61830,H3_YEAST,0.07,,,1105.334,2,200,2,1,2,9,Histone H3,,Y,Protein,Modified residue,Histone H3,"HHT2,YBR0201,YNL031C,SIN2,YBR010W,HHT1,N2749",2
2n3v,Solution NMR,y,Solution structure of the Rpn1 T1 site with K48-linked diubiquitin in the extended binding mode,"Chen X,Walters KJ",Engineered,,,,,,,,P 1,,,,,,,,,,,PF01851,PC_rep,TPR,Proteasome/cyclosome repeat,"IPR011989,IPR016643,IPR002015","Armadillo-like helical,26S proteasome regulatory complex\, non-ATPase subcomplex\, Rpn1 subunit,Proteasome/cyclosome repeat",,,,,,,,,,"GO:0042176,GO:0030234,GO:0000502",regulation of protein catabolic process,enzyme regulator activity,proteasome complex,,,,,P38764,RPN1_YEAST,0.13,25657,,13636.592,3,566,2,0,3,131,26S proteasome regulatory subunit RPN1,,N,Protein,,"26S proteasome regulatory subunit RPN1,HMG-CoA reductase degradation protein 2,Proteasome non-ATPase subunit 1","NAS1,YHR027C,HRD2,RPN1,RPD1",1
2kgn,Solution NMR,y,Solution structure of Ste5PM24 in the zwitterionic DPC micelle,"Bhunia A,Bhattacharjya S",Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P32917,STE5_YEAST,0.03,,,2897.471,1,48,1,0,1,24,Protein STE5,,N,Protein,,Protein STE5,"YDR103W,STE5,NUL3,YD8557.12",1
1k2m,Solution NMR,y,Solution Structure of the FHA2 Domain of Rad53 Complexed with a Phosphotyrosyl Peptide Derived from Rad9,"Byeon I-JL,Yongkiettrakul S,Tsai M-D",Synthetic,,,,,Single wavelength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P14737,RAD9_YEAST,0.01,,,1009.947,2,330,2,0,2,7,DNA repair protein RAD9,,Y,Protein,Modified residue,DNA repair protein RAD9,"RAD9,YDR217C,YD9934.02C",2
2nbw,Solution NMR,y,Solution structure of the Rpn1 T1 site with the Rad23 UBL domain,"Chen X,Walters KJ",Engineered,,,,,,,,,,,,,,,,,,,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR029071,IPR000626","Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,,,,,P32628,RAD23_YEAST,0.2,25825,,8711.1,2,418,2,0,2,78,UV excision repair protein RAD23,,N,Protein,,UV excision repair protein RAD23,"YEL037C,RAD23,SYGP-ORF29",2
2nbw,Solution NMR,y,Solution structure of the Rpn1 T1 site with the Rad23 UBL domain,"Chen X,Walters KJ",Engineered,,,,,,,,,,,,,,,,,,,PF01851,PC_rep,TPR,Proteasome/cyclosome repeat,"IPR011989,IPR016643,IPR002015","Armadillo-like helical,26S proteasome regulatory complex\, non-ATPase subcomplex\, Rpn1 subunit,Proteasome/cyclosome repeat",,,,,,,,,,"GO:0042176,GO:0030234,GO:0000502",regulation of protein catabolic process,enzyme regulator activity,proteasome complex,,,,,P38764,RPN1_YEAST,0.13,25825,,13636.592,2,418,2,0,2,131,26S proteasome regulatory subunit RPN1,,N,Protein,,"26S proteasome regulatory subunit RPN1,HMG-CoA reductase degradation protein 2,Proteasome non-ATPase subunit 1","NAS1,YHR027C,HRD2,RPN1,RPD1",1
2llv,Solution NMR,y,Solution structure of the yeast Sti1 DP1 domain,"Schmid AB,Lagleder S,Graewert MA,Roehl A,Hagn F,Wandinger SK,Cox MB,Demmer O,Richter K,Groll M,Kessler H,Buchner J",Engineered,,,,,,,,,,,,,,,,,,,PF17830,STI1,,STI1 domain,"IPR041243,IPR006636","STI1 domain,Heat shock chaperonin-binding",1.10.260.100,Mainly Alpha,Orthogonal Bundle,434 Repressor (Amino-terminal Domain),434 Repressor (Amino-terminal Domain),,,,,,,,,,,,,P15705,STI1_YEAST,0.12,18090,,7935.26,1,142,1,0,1,71,Heat shock protein STI1,,N,Protein,,Heat shock protein STI1,"STI1,OR26.17,YOR027W",1
2nax,Solution NMR,y,Structure of CCHC zinc finger domain of Pcf11,"Yang F,Varani G",Engineered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P39081,PCF11_YEAST,0.11,25953,,8655.413,1,153,1,1,1,76,Protein PCF11,,N,Protein,Expression tag,"protein 1 of CF I,Protein PCF11","YDR228C,PCF11,YD9934.13C",1
2l2i,Solution NMR,y,NMR Structure of the complex between the Tfb1 subunit of TFIIH and the activation domain of EKLF,"Mas C,Di Lello P,Lafrance-Vanasse J,Omichinski JG",Engineered,,,,,,,,P 1,,,,,,,,,,,PF08567,PH_TFIIH,PH,"TFIIH p62 subunit\, N-terminal domain","IPR027079,IPR011993,IPR013876","TFIIH subunit Tfb1/GTF2H1,PH-like domain superfamily,TFIIH p62 subunit\, N-terminal",2.30.29.30,Mainly Beta,Roll,PH-domain like,Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB),,,,,"GO:0006351,GO:0006289,GO:0000439","transcription\, DNA-templated,nucleotide-excision repair",,transcription factor TFIIH core complex,,,,,P32776,TFB1_YEAST,0.18,,,12903.701,2,314,2,0,2,115,General transcription and DNA repair factor IIH subunit TFB1,,N,Protein,Expression tag,"General transcription and DNA repair factor IIH subunit TFB1,TFIIH subunit TFB1,RNA polymerase II transcription factor B 73 kDa subunit,RNA polymerase II transcription factor B p73 subunit,RNA polymerase II transcription factor B subunit 1","D9740.3,YDR311W,TFB1",1
2lm4,Solution NMR,y,"Solution NMR Structure of mitochondrial succinate dehydrogenase assembly factor 2 from Saccharomyces cerevisiae, Northeast Structural Genomics Consortium Target YT682A","Eletsky A,Winge DR,Lee H,Lee D,Kohan E,Hamilton K,Acton TB,Xiao R,Everett JK,Prestegard JH,Montelione GT,Szyperski T,Northeast Structural Genomics Consortium (NESG),Mitochondrial Protein Partnership (MPP)",Engineered,,,,,,,,,,,,,,,"NESG,MPP","Northeast Structural Genomics Consortium,Mitochondrial Protein Partnership",,,PF03937,Sdh5,,Flavinator of succinate dehydrogenase,"IPR036714,IPR005631","Flavinator of succinate dehydrogenase superfamily,Flavinator of succinate dehydrogenase",1.10.150.250,Mainly Alpha,Orthogonal Bundle,DNA polymerase; domain 1,Flavinator of succinate dehydrogenase,,,,,"GO:0018293,GO:0005739",protein-FAD linkage,,mitochondrion,,,,,Q08230,SDHF2_YEAST,0.6,18098,,13193.031,1,218,1,0,1,109,"Succinate dehydrogenase assembly factor 2\, mitochondrial",,N,Protein,Expression tag,"SDHAF2,Succinate dehydrogenase assembly factor 2\, mitochondrial,SDH assembly factor 2","SDH5,EMI5,YOL071W",1
