pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
2e5r,PF00569,ZZ,C1,"Zinc finger\, ZZ type",IPR000433,"Zinc finger\, ZZ-type","3.30.60.90,3.30.60.90","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Wheat Germ Agglutinin (Isolectin 2); domain 1,Wheat Germ Agglutinin (Isolectin 2); domain 1","Wheat Germ Agglutinin (Isolectin 2); domain 1,Zinc finger\, ZZ-type",,,,,GO:0008270,,zinc ion binding,,,,,,"Q9Y4J8,Q9Y4J8-4,Q9Y4J8-16,Q9Y4J8-11,Q9Y4J8-6,Q9Y4J8-3,Q9Y4J8-14,Q9Y4J8-13,Q9Y4J8-15,Q9Y4J8-5,Q9Y4J8-2,Q9Y4J8-8,Q9Y4J8-9,Q9Y4J8-10,Q9Y4J8-7","DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN,DTNA_HUMAN",0.08,,,17.94,-1.0,,,,1
1hct,PF00017,SH2,SH2-like,SH2 domain,"IPR000980,IPR036860","SH2 domain,SH2 domain superfamily",3.30.505.10,Alpha Beta,2-Layer Sandwich,SHC Adaptor Protein,SH2 domain,2.7.10.2,Non-specific protein-tyrosine kinase,ATP:[protein]-L-tyrosine O-phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-tyrosine kinases,Non-specific protein-tyrosine kinase",,,,,Alpha and beta proteins (a+b),SH2-like,SH2 domain,SH2 domain,"P12931,P12931-2","SRC_HUMAN,SRC_HUMAN",0.2,,,6.2,-1.0,,,,2
1hd4,,,,,"IPR029034,IPR000476","Cystine-knot cytokine,Glycoprotein hormone alpha chain",2.10.90.10,Mainly Beta,Ribbon,"Cystine Knot Cytokines\, subunit B",Cystine-knot cytokines,,,,,"GO:0016486,GO:0010893,GO:0010469,GO:0030335,GO:0045944,GO:0006357,GO:0008284,GO:0007186,GO:0006590,GO:0016913,GO:0005179,GO:0005515,GO:0005796,GO:0005615,GO:0005576,GO:0016914","peptide hormone processing,positive regulation of steroid biosynthetic process,regulation of signaling receptor activity,positive regulation of cell migration,positive regulation of transcription by RNA polymerase II,regulation of transcription by RNA polymerase II,positive regulation of cell population proliferation,G protein-coupled receptor signaling pathway,thyroid hormone generation","follicle-stimulating hormone activity,hormone activity,protein binding","Golgi lumen,extracellular space,extracellular region,follicle-stimulating hormone complex",Small proteins,Cystine-knot cytokines,Cystine-knot cytokines,Gonadodropin/Follitropin,P01215,GLHA_HUMAN,1.0,,,0.0,-1.0,,,,1
1x45,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR030530,IPR001478","PDZ superfamily,Amyloid beta A4 precursor protein-binding family A member 1,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,"GO:0065003,GO:0007268,GO:0001540,GO:0008021","protein-containing complex assembly,chemical synaptic transmission",amyloid-beta binding,synaptic vesicle,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"Q02410,Q02410-2","APBA1_HUMAN,APBA1_HUMAN",0.1,,,10.71,-1.0,,,,1
1ron,PF00159,Hormone_3,,Pancreatic hormone peptide,IPR001955,Pancreatic hormone-like,,,,,,,,,,"GO:0005179,GO:0005576",,hormone activity,extracellular region,Peptides,Peptide hormones,Peptide hormones,Peptide hormones,P01303,NPY_HUMAN,0.52,,,4.45,-1.0,,,,1
1yjr,PF00403,HMA,,Heavy-metal-associated domain,"IPR036163,IPR006121","Heavy metal-associated domain superfamily,Heavy metal-associated domain\, HMA",3.30.70.100,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,Alpha-Beta Plaits,7.2.2.8,P-type Cu(+) transporter,"ATP phosphohydrolase (P-type\, Cu(+)-exporting)","Translocases,Catalyzing the translocation of inorganic cations,Linked to the hydrolysis of a nucleoside triphosphate,P-type Cu(+) transporter","GO:0030001,GO:0046872",metal ion transport,metal ion binding,,,,,,"Q04656,Q04656-6,Q04656-2,Q04656-4,Q04656-3,Q04656-5","ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN,ATP7A_HUMAN",0.05,,,9.69,-1.0,,,,1
1pfm,PF00048,IL8,,"Small cytokines (intecrine/chemokine)\, interleukin-8 like","IPR033899,IPR001089,IPR036048,IPR001811,IPR027222","CXC Chemokine domain,CXC chemokine,Chemokine interleukin-8-like superfamily,Chemokine interleukin-8-like domain,Platelet factor 4",2.40.50.40,Mainly Beta,Beta Barrel,"OB fold (Dihydrolipoamide Acetyltransferase\, E2P)","OB fold (Dihydrolipoamide Acetyltransferase\, E2P)",,,,,"GO:0045347,GO:0032760,GO:0045653,GO:0030593,GO:0061844,GO:0002576,GO:0030595,GO:0045651,GO:0006935,GO:0071222,GO:2001240,GO:0045652,GO:0006954,GO:0045944,GO:0019221,GO:0007186,GO:0070098,GO:0010744,GO:0051873,GO:0030168,GO:0007189,GO:0016525,GO:0042832,GO:0010628,GO:0006952,GO:0042127,GO:0006955,GO:0008201,GO:0005515,GO:0005125,GO:0045236,GO:0048248,GO:0008009,GO:0031093,GO:0030430,GO:0005615,GO:0005737,GO:0005576,GO:0020005,GO:0062023","negative regulation of MHC class II biosynthetic process,positive regulation of tumor necrosis factor production,negative regulation of megakaryocyte differentiation,neutrophil chemotaxis,antimicrobial humoral immune response mediated by antimicrobial peptide,platelet degranulation,leukocyte chemotaxis,positive regulation of macrophage differentiation,chemotaxis,cellular response to lipopolysaccharide,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,regulation of megakaryocyte differentiation,inflammatory response,positive regulation of transcription by RNA polymerase II,cytokine-mediated signaling pathway,G protein-coupled receptor signaling pathway,chemokine-mediated signaling pathway,positive regulation of macrophage derived foam cell differentiation,killing by host of symbiont cells,platelet activation,adenylate cyclase-activating G protein-coupled receptor signaling pathway,negative regulation of angiogenesis,defense response to protozoan,positive regulation of gene expression,defense response,regulation of cell population proliferation,immune response","heparin binding,protein binding,cytokine activity,CXCR chemokine receptor binding,CXCR3 chemokine receptor binding,chemokine activity","platelet alpha granule lumen,host cell cytoplasm,extracellular space,cytoplasm,extracellular region,symbiont-containing vacuole membrane,collagen-containing extracellular matrix",Alpha and beta proteins (a+b),IL8-like,Interleukin 8-like chemokines,Interleukin 8-like chemokines,P02776,PLF4_HUMAN,0.91,,,1.64,-1.0,,,,1
2epa,PF00096,zf-C2H2,C2H2-zf,"Zinc finger\, C2H2 type","IPR036236,IPR013087","Zinc finger C2H2 superfamily,Zinc finger C2H2-type",3.30.160.60,Alpha Beta,2-Layer Sandwich,Double Stranded RNA Binding Domain,Classic Zinc Finger,,,,,GO:0003676,,nucleic acid binding,,,,,,"Q13118,Q13118-2,Q13118-4,Q13118-3","KLF10_HUMAN,KLF10_HUMAN,KLF10_HUMAN,KLF10_HUMAN",0.14,,,11.29,-1.0,,,,1
1hcs,PF00017,SH2,SH2-like,SH2 domain,"IPR000980,IPR036860","SH2 domain,SH2 domain superfamily",3.30.505.10,Alpha Beta,2-Layer Sandwich,SHC Adaptor Protein,SH2 domain,2.7.10.2,Non-specific protein-tyrosine kinase,ATP:[protein]-L-tyrosine O-phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-tyrosine kinases,Non-specific protein-tyrosine kinase",,,,,Alpha and beta proteins (a+b),SH2-like,SH2 domain,SH2 domain,"P12931,P12931-2","SRC_HUMAN,SRC_HUMAN",0.2,,,6.94,-1.0,,,,2
2cq9,PF00462,Glutaredoxin,Thioredoxin,Glutaredoxin,"IPR011899,IPR036249,IPR014025,IPR002109","Glutaredoxin\, eukaryotic/virial,Thioredoxin-like superfamily,Glutaredoxin subgroup,Glutaredoxin",3.40.30.10,Alpha Beta,3-Layer(aba) Sandwich,Glutaredoxin,Glutaredoxin,,,,,"GO:0045454,GO:0009055,GO:0015035",cell redox homeostasis,"electron transfer activity,protein disulfide oxidoreductase activity",,,,,,"Q9NS18,Q9NS18-2","GLRX2_HUMAN,GLRX2_HUMAN",0.71,,,17.78,-1.0,,,,1
2elm,,,,,,,,,,,,,,,,,,,,,,,,"Q9P243,Q9P243-2,Q9P243-4,Q9P243-3","ZFAT_HUMAN,ZFAT_HUMAN,ZFAT_HUMAN,ZFAT_HUMAN",0.02,,,10.16,-1.0,,,,1
1in1,PF16759,LIG3_BRCT,BRCT-like,DNA ligase 3 BRCT domain,"IPR031916,IPR001357,IPR036420","DNA ligase 3\, BRCT domain,BRCT domain,BRCT domain superfamily",3.40.50.10190,Alpha Beta,3-Layer(aba) Sandwich,Rossmann fold,BRCT domain,6.5.1.1,DNA ligase (ATP),Poly(deoxyribonucleotide)-3'-hydroxyl:5'-phospho-poly(deoxyribonucleotide) ligase (ATP),"Ligases,Forming phosphoric ester bonds,Forming phosphoric ester bonds,DNA ligase (ATP)",,,,,Alpha and beta proteins (a/b),BRCT domain,BRCT domain,DNA ligase,"P49916,P49916-3,P49916-2,P49916-4","DNLI3_HUMAN,DNLI3_HUMAN,DNLI3_HUMAN,DNLI3_HUMAN",0.09,,,0.0,-1.0,,,,1
2o2m,PF00452,Bcl-2,BCLiA,"Apoptosis regulator proteins\, Bcl-2 family","IPR026298,IPR013279,IPR036834,IPR003093","Blc2 family,Apoptosis regulator\, Bcl-X,Blc2-like superfamily,Apoptosis regulator\, Bcl-2 protein\, BH4",1.10.437.10,Mainly Alpha,Orthogonal Bundle,Apoptosis Regulator Bcl-x,Blc2-like,,,,,GO:0042981,regulation of apoptotic process,,,,,,,"Q07817,Q07817-3,Q07817-2","B2CL1_HUMAN,B2CL1_HUMAN,B2CL1_HUMAN",0.59,,,4.61,-1.0,,,,1
1zto,,,,,"IPR012897,IPR020467,IPR037065","Potassium channel\, voltage dependent\, Kv1.4\, tandem inactivation domain,Potassium channel\, voltage dependent\, Kv1.4,Potassium channel\, voltage dependent\, Kv1.4\, tandem inactivation domain superfamily",,,,,,,,,,"GO:0006813,GO:0030955,GO:0005249,GO:0016021",potassium ion transport,"potassium ion binding,voltage-gated potassium channel activity",integral component of membrane,Peptides,Inactivation gate of potassium and sodium channels,Inactivation gate of potassium and sodium channels,Inactivation gate of potassium and sodium channels,P15385,KCNA4_RAT,0.06,,,2.61,-1.0,,,,1
2kzs,,,,,"IPR031333,IPR038298,IPR005012","Daxx\, N-terminal Rassf1C-interacting domain,Daxx\, N-terminal domain superfamily,Daxx protein","1.10.8.810,1.10.8.810","Mainly Alpha,Mainly Alpha","Orthogonal Bundle,Orthogonal Bundle","Helicase\, Ruva Protein; domain 3,Helicase\, Ruva Protein; domain 3","Daxx helical bundle domain,Helicase\, Ruva Protein; domain 3",,,,,,,,,,,,,"Q9UER7,Q9UER7-3,Q9UER7-2,Q9UER7-5,Q9UER7-4","DAXX_HUMAN,DAXX_HUMAN,DAXX_HUMAN,DAXX_HUMAN,DAXX_HUMAN",0.12,17018,,12.43,-1.0,,,,1
2oqs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.21,-1.0,,,,2
2oqs,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR001478","PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,,,,,,,,,"Q12959,Q12959-8,Q12959-9,Q12959-5,Q12959-6,Q12959-7,Q12959-2,Q12959-3,Q12959-4","DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN,DLG1_HUMAN",0.1,,,6.21,-1.0,,,,1
2mxp,PF18112,Zn-C2H2_12,C2H2-zf,Autophagy receptor zinc finger-C2H2 domain,IPR041641,"CALCOCO1/2\, zinc finger-C2H2 domain",,,,,,,,,,,,,,,,,,"Q13137,Q13137-3,Q13137-2,Q13137-5,Q13137-4","CACO2_HUMAN,CACO2_HUMAN,CACO2_HUMAN,CACO2_HUMAN,CACO2_HUMAN",0.07,25423,,5.47,-1.0,,,,1
1cb3,,,,,,,,,,,,,,,,,,,,Peptides,alpha-lactalbumin peptide model,alpha-lactalbumin peptide model,alpha-lactalbumin peptide model,P00709,LALBA_HUMAN,0.08,,,0.0,-1.0,,,,1
5nvb,,,,,IPR001084,"Microtubule associated protein\,  tubulin-binding repeat",,,,,,,,,,GO:0015631,,tubulin binding,,,,,,"P10636,P10636-7,P10636-8,P10636-4,P10636-9,P10636-5,P10636-6,P10636-3,P10636-2","TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN,TAU_HUMAN",0.02,34129,,9.22,-1.0,,,,1
2a24,PF08447,PAS_3,PAS_Fold,PAS fold,"IPR035965,IPR013655,IPR000014,IPR001610","PAS domain superfamily,PAS fold-3,PAS domain,PAC motif","3.30.450.20,3.30.450.20","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Beta-Lactamase,Beta-Lactamase","Beta-Lactamase,PAS domain",,,,,,,,,,,,,Q99814,EPAS1_HUMAN,0.12,,,18.15,-1.0,,,,1
2a24,,,,,"IPR035965,IPR000014","PAS domain superfamily,PAS domain","3.30.450.20,3.30.450.20","Alpha Beta,Alpha Beta","2-Layer Sandwich,2-Layer Sandwich","Beta-Lactamase,Beta-Lactamase","Beta-Lactamase,PAS domain",,,,,,,,,,,,,"P27540,P27540-3,P27540-2,P27540-4","ARNT_HUMAN,ARNT_HUMAN,ARNT_HUMAN,ARNT_HUMAN",0.14,,,18.15,-1.0,,,,2
2l1r,PF13833,EF-hand_8,EF_hand,EF-hand domain pair,"IPR011992,IPR002048","EF-hand domain pair,EF-hand domain",,,,,,,,,,GO:0005509,,calcium ion binding,,,,,,P63316,TNNC1_HUMAN,0.55,,,6.27,-1.0,,,,1
2ayk,PF00413,Peptidase_M10,Peptidase_MA,Matrixin,"IPR001818,IPR033739,IPR006026,IPR024079,IPR021190","Peptidase M10\, metallopeptidase,Peptidase M10A\, catalytic domain,Peptidase\, metallopeptidase,Metallopeptidase\, catalytic domain superfamily,Peptidase M10A",3.40.390.10,Alpha Beta,3-Layer(aba) Sandwich,Collagenase (Catalytic Domain),Collagenase (Catalytic Domain),3.4.24.7,Interstitial collagenase,-,"Hydrolases,Acting on peptide bonds (peptidases),Metalloendopeptidases,Interstitial collagenase","GO:0006508,GO:0008237,GO:0004222,GO:0008270,GO:0031012",proteolysis,"metallopeptidase activity,metalloendopeptidase activity,zinc ion binding",extracellular matrix,Alpha and beta proteins (a+b),Zincin-like,"Metalloproteases (""zincins"")\, catalytic domain","Matrix metalloproteases\, catalytic domain",P03956,MMP1_HUMAN,0.38,,,33.22,-1.0,,,,1
2mit,PF00323,Defensin_1,Defensin,Mammalian defensin,"IPR016327,IPR006080,IPR006081","Alpha-defensin propeptide,Beta/alpha defensin,Alpha-defensin",,,,,,,,,,"GO:0006952,GO:0005615,GO:0005576",defense response,,"extracellular space,extracellular region",,,,,Q01523,DEF5_HUMAN,0.43,"18705,19693",,18.17,-1.0,,,,1
2ruc,PF00639,Rotamase,FKBP,PPIC-type PPIASE domain,IPR000297,"Peptidyl-prolyl cis-trans isomerase\, PpiC-type",3.10.50.40,Alpha Beta,Roll,Chitinase A; domain 3,Chitinase A; domain 3,5.2.1.8,Peptidylprolyl isomerase,Peptidylproline cis-trans-isomerase,"Isomerases,Cis-trans-isomerases,Cis-trans isomerases,Peptidylprolyl isomerase",GO:0003755,,peptidyl-prolyl cis-trans isomerase activity,,,,,,Q13526,PIN1_HUMAN,0.69,11559,,63.97,-1.0,,,,1
2jrj,PF13639,zf-RING_2,RING,Ring finger domain,"IPR013083,IPR001841","Zinc finger\, RING/FYVE/PHD-type,Zinc finger\, RING-type",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase",,,,,,,,,"Q96PM5,Q96PM5-7,Q96PM5-8,Q96PM5-5,Q96PM5-2,Q96PM5-3,Q96PM5-4,Q96PM5-6","ZN363_HUMAN,ZN363_HUMAN,ZN363_HUMAN,ZN363_HUMAN,ZN363_HUMAN,ZN363_HUMAN,ZN363_HUMAN,ZN363_HUMAN",0.2,,,12.26,-1.0,,,,1
5j8h,PF13499,EF-hand_7,EF_hand,EF-hand domain pair,"IPR011992,IPR002048,IPR039030","EF-hand domain pair,EF-hand domain,Calmodulin",,,,,,,,,,"GO:0019722,GO:0002576,GO:0022400,GO:0005513,GO:0032516,GO:0005980,GO:0010880,GO:0060314,GO:0031954,GO:0035307,GO:0002027,GO:0051343,GO:1901844,GO:0060315,GO:0007186,GO:0021762,GO:0010800,GO:0010881,GO:0007223,GO:0050999,GO:0032465,GO:0016032,GO:0000226,GO:0060316,GO:0006936,GO:0051592,GO:0000165,GO:0071902,GO:0051186,GO:0010801,GO:0055117,GO:0038095,GO:0043647,GO:0005509,GO:0019904,GO:0072542,GO:0005515,GO:0031432,GO:0030234,GO:0046872,GO:0043539,GO:0044325,GO:0097718,GO:0010856,GO:0008179,GO:0031997,GO:0019855,GO:0019901,GO:0005634,GO:0000922,GO:0005654,GO:0031982,GO:0005813,GO:0005876,GO:0030017,GO:0005815,GO:0005623,GO:0032991,GO:0005737,GO:0005819,GO:0005856,GO:0005886,GO:0005576,GO:0034704,GO:1902494,GO:0005829","calcium-mediated signaling,platelet degranulation,regulation of rhodopsin mediated signaling pathway,detection of calcium ion,positive regulation of phosphoprotein phosphatase activity,glycogen catabolic process,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,regulation of ryanodine-sensitive calcium-release channel activity,positive regulation of protein autophosphorylation,positive regulation of protein dephosphorylation,regulation of heart rate,positive regulation of cyclic-nucleotide phosphodiesterase activity,regulation of cell communication by electrical coupling involved in cardiac conduction,negative regulation of ryanodine-sensitive calcium-release channel activity,G protein-coupled receptor signaling pathway,substantia nigra development,positive regulation of peptidyl-threonine phosphorylation,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,Wnt signaling pathway\, calcium modulating pathway,regulation of nitric-oxide synthase activity,regulation of cytokinesis,viral process,microtubule cytoskeleton organization,positive regulation of ryanodine-sensitive calcium-release channel activity,muscle contraction,response to calcium ion,MAPK cascade,positive regulation of protein serine/threonine kinase activity,cofactor metabolic process,negative regulation of peptidyl-threonine phosphorylation,regulation of cardiac muscle contraction,Fc-epsilon receptor signaling pathway,inositol phosphate metabolic process","calcium ion binding,protein domain specific binding,protein phosphatase activator activity,protein binding,titin binding,enzyme regulator activity,metal ion binding,protein serine/threonine kinase activator activity,ion channel binding,disordered domain specific binding,adenylate cyclase activator activity,adenylate cyclase binding,N-terminal myristoylation domain binding,calcium channel inhibitor activity,protein kinase binding","nucleus,spindle pole,nucleoplasm,vesicle,centrosome,spindle microtubule,sarcomere,microtubule organizing center,cell,protein-containing complex,cytoplasm,spindle,cytoskeleton,plasma membrane,extracellular region,calcium channel complex,catalytic complex,cytosol",,,,,P0DP23,CALM1_HUMAN,0.99,30063,,58.54,-1.0,,,,1
2l1r,,,,,,,,,,,,,,,,,,,,,,,,P19429,TNNI3_HUMAN,0.1,,,6.27,-1.0,,,,2
2n2n,PF03127,GAT,,GAT domain,"IPR004152,IPR038425","GAT domain,GAT domain superfamily",1.20.58.160,Mainly Alpha,Up-down Bundle,"Methane Monooxygenase Hydroxylase; Chain G\, domain 1","Methane Monooxygenase Hydroxylase; Chain G\, domain 1",,,,,GO:0006886,intracellular protein transport,,,,,,,"O60784,O60784-4,O60784-3,O60784-2","TOM1_HUMAN,TOM1_HUMAN,TOM1_HUMAN,TOM1_HUMAN",0.19,25602,,94.88,-1.0,,,,1
1gya,PF07686,V-set,Ig,Immunoglobulin V-set domain,"IPR013106,IPR015632,IPR013783,IPR036179","Immunoglobulin V-set domain,T-cell surface antigen CD2,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,All beta proteins,Immunoglobulin-like beta-sandwich,Immunoglobulin,V set domains (antibody variable domain-like),P06729,CD2_HUMAN,0.32,,,1.28,-1.0,,,,1
2n9y,,,,,,,,,,,,,,,,,,,,,,,,"P08514,P08514-2,P08514-3","ITA2B_HUMAN,ITA2B_HUMAN,ITA2B_HUMAN",0.04,25920,,35.01,-1.0,,,,1
2db5,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR001478","PDZ superfamily,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,,,,,,,,,"Q8NI35,Q8NI35-3,Q8NI35-4,Q8NI35-2,Q8NI35-5","INADL_HUMAN,INADL_HUMAN,INADL_HUMAN,INADL_HUMAN,INADL_HUMAN",0.06,,,11.79,-1.0,,,,1
6b1g,PF18694,TDP43_N,,Transactive response DNA-binding protein N-terminal domain,IPR041105,"TAR DNA-binding protein 43\, N-terminal",,,,,,,,,,,,,,,,,,"Q13148,Q13148-4","TADBP_HUMAN,TADBP_HUMAN",0.19,30345,,22.0,-1.0,,,,1
2le8,,,,,,,,,,,,,,,,,,,,,,,,Q9H211,CDT1_HUMAN,0.05,17702,,13.34,-1.0,,,,2
2le8,PF18263,MCM6_C,,MCM6 C-terminal winged-helix domain,"IPR041024,IPR031327","Mcm6\, C-terminal winged-helix domain,Mini-chromosome maintenance protein",1.20.58.870,Mainly Alpha,Up-down Bundle,"Methane Monooxygenase Hydroxylase; Chain G\, domain 1","Methane Monooxygenase Hydroxylase; Chain G\, domain 1",3.6.4.12,DNA helicase,ATP phosphohydrolase (DNA helix unwinding),"Hydrolases,Acting on acid anhydrides,Acting on ATP; involved in cellular and subcellular movement,DNA helicase",,,,,,,,,Q14566,MCM6_HUMAN,0.14,17702,,13.34,-1.0,,,,1
2jm2,,,,,"IPR009168,IPR022326","Insulin-like growth factor binding protein,Insulin-like growth factor-binding protein 6",,,,,,,,,,"GO:0005520,GO:0005576",,insulin-like growth factor binding,extracellular region,,,,,,,,7262,,4.36,-1.0,,,,1
2dmt,PF00046,Homeodomain,HTH,Homeodomain,"IPR020479,IPR000047,IPR001356,IPR009057","Homeobox domain\, metazoa,Helix-turn-helix motif,Homeobox domain,Homeobox-like domain superfamily",1.10.10.60,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeodomain-like,,,,,"GO:0006355,GO:0003677,GO:0043565","regulation of transcription\, DNA-templated","DNA binding,sequence-specific DNA binding",,,,,,"Q9HBU1,Q9HBU1-2","BARX1_HUMAN,BARX1_HUMAN",0.26,,,14.85,-1.0,,,,1
6b1g,PF18694,TDP43_N,,Transactive response DNA-binding protein N-terminal domain,IPR041105,"TAR DNA-binding protein 43\, N-terminal",,,,,,,,,,,,,,,,,,"Q13148,Q13148-4","TADBP_HUMAN,TADBP_HUMAN",0.19,30345,,22.0,-1.0,,,,2
2kjh,PF00240,ubiquitin,Ubiquitin,Ubiquitin family,"IPR019956,IPR029071,IPR000626","Ubiquitin domain,Ubiquitin-like domain superfamily,Ubiquitin-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,,,,,,,,,P0CG48,UBC_HUMAN,0.11,16321,,32.63,-1.0,,,,2
2cqe,PF00642,zf-CCCH,CCCH_zf,Zinc finger C-x8-C-x5-C-x3-H type (and similar),"IPR036855,IPR000571","Zinc finger\, CCCH-type superfamily,Zinc finger\, CCCH-type",4.10.1000.10,Few Secondary Structures,Irregular,CCCH zinc finger,"Zinc finger\, CCCH-type",,,,,GO:0046872,,metal ion binding,,Small proteins,CCCH zinc finger,CCCH zinc finger,CCCH zinc finger,Q9UPT8,ZC3H4_HUMAN,0.07,,,13.2,-1.0,,,,1
1e9k,,,,,,,,,,,,3.1.4.53,"3'\,5'-cyclic-AMP phosphodiesterase","3'\,5'-cyclic-AMP 5'-nucleotidohydrolase","Hydrolases,Acting on ester bonds,Phosphoric diester hydrolases,3'\,5'-cyclic-AMP phosphodiesterase",,,,,Peptides,Rack1 interaction site of the CAMP-specific phosphodiesterase pde4d5.,Rack1 interaction site of the CAMP-specific phosphodiesterase pde4d5.,Rack1 interaction site of the CAMP-specific phosphodiesterase pde4d5.,"Q08499,Q08499-2,Q08499-8,Q08499-11,Q08499-7,Q08499-10,Q08499-5,Q08499-3,Q08499-6,Q08499-9,Q08499-12","PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN,PDE4D_HUMAN",0.04,,,0.0,-1.0,,,,1
2da6,,,,,"IPR039066,IPR001356,IPR009057","Hepatocyte nuclear factor 1,Homeobox domain,Homeobox-like domain superfamily",1.10.10.60,Mainly Alpha,Orthogonal Bundle,"Arc Repressor Mutant\, subunit A",Homeodomain-like,,,,,"GO:0030073,GO:0006357,GO:0001889,GO:0031016,GO:0003677","insulin secretion,regulation of transcription by RNA polymerase II,liver development,pancreas development",DNA binding,,,,,,"P35680,P35680-3,P35680-2,P35680-4","HNF1B_HUMAN,HNF1B_HUMAN,HNF1B_HUMAN,HNF1B_HUMAN",0.16,,,23.29,-1.0,,,,1
2m68,,,,,"IPR000479,IPR009011","Cation-independent mannose-6-phosphate receptor repeat,Mannose-6-phosphate receptor binding domain superfamily",2.70.130.10,Mainly Beta,Distorted Sandwich,Cation-dependent Mannose-6-phosphate Receptor; Chain A,Mannose-6-phosphate receptor binding domain,,,,,"GO:0007041,GO:0005520,GO:0038023,GO:0005537",lysosomal transport,"insulin-like growth factor binding,signaling receptor activity,mannose binding",,,,,,P11717,MPRI_HUMAN,0.06,19117,,22.24,-1.0,,,,1
5mpg,PF00076,RRM_1,RRM,"RNA recognition motif. (a.k.a. RRM\, RBD\, or RNP domain)","IPR000504,IPR012677,IPR035979","RNA recognition motif domain,Nucleotide-binding alpha-beta plait domain superfamily,RNA-binding domain superfamily",3.30.70.330,Alpha Beta,2-Layer Sandwich,Alpha-Beta Plaits,RRM (RNA recognition motif) domain,,,,,GO:0003676,,nucleic acid binding,,,,,,"P09651,P09651-2,P09651-3","ROA1_HUMAN,ROA1_HUMAN,ROA1_HUMAN",0.26,34079,,10.12,-1.0,,,,1
